	Title	created_at	URL	text	About_text	Year	Month	Day	Time	Date
0	Ρήτρα αναπροσαρμογής: Παρατείνεται η απαγόρευση διακοπής ρεύματος στους ευάλωτους	06 Ιουλίου 2022 17:09	https://www.news247.gr/koinonia/ritra-anaprosarmogis-parateinetai-i-apagoreysi-diakopis-reymatos-stoys-eyalotoys.9688731.html	Με απόφαση του Πολυμελούς Πρωτοδικείου Αθηνών, παρατείνεται η προσωρινή διαταγή απαγόρευσης διακοπής του ηλεκτρικού ρεύματος σε ευάλωτα νοικοκυριά.	ΡΗΤΡΑ ΑΝΑΠΡΟΣΑΡΜΟΓΗΣ	2022	Ιουλίου	06	17:09	2022-07-06 17:09:00
1	Ρήτρα αναπροσαρμογής: Στη Βουλή η αναστολή της και το πλαφόν στη χονδρική	29 Ιουνίου 2022 09:51	https://www.news247.gr/politiki/ritra-anaprosarmogis-sti-voyli-i-anastoli-tis-kai-to-plafon-sti-chondriki.9680740.html	Στην Ολομέλεια της Βουλής σήμερα η αναστολή της ρήτρας αναπροσαρμογής με τη μορφή τροπολογίας και η παρέμβαση στη χονδρική.	ΗΛΕΚΤΡΙΚΗ ΕΝΕΡΓΕΙΑ	2022	Ιουνίου	29	09:51	2022-06-29 09:51:00
2	Τσίπρας: Εμπαιγμός η δήθεν κατάργηση της ρήτρας αναπροσαρμογής	29 Ιουνίου 2022 06:31	https://www.news247.gr/politiki/tsipras-empaigmos-i-dithen-katargisi-tis-ritras-anaprosarmogis.9680583.html	Την κυβερνητική προσπάθεια να απαλείψει τη ρήτρα από τους λογαριασμούς όχι όμως και από τις... χρεώσεις στο ηλεκτρικό ρεύμα αναμένεται να καταγγείλει σήμερα ο πρόεδρος του ΣΥΡΙΖΑ.	ΡΗΤΡΑ ΑΝΑΠΡΟΣΑΡΜΟΓΗΣ	2022	Ιουνίου	29	06:31	2022-06-29 06:31:00
3	"Ρήτρα αναπροσαρμογής: ""Δεν καταργείται, απλά αλλάζει όνομα"" λέει το ΙΝΚΑ"	28 Ιουνίου 2022 14:10	https://www.news247.gr/energia/ritra-anaprosarmogis-den-katargeitai-apla-allazei-onoma-leei-to-inka.9679870.html	"Για παραβίαση της ευρωπαϊκής νομοθεσίας κάνει λόγο το Ινστιτούτο καταναλωτή σχετικά με την τροπολογία της κυβέρνησης για την αναστολή της ρήτρας αναπροσαρμογής. ""Βαφτίσανε το κρέας ψάρι""."	ΡΗΤΡΑ ΑΝΑΠΡΟΣΑΡΜΟΓΗΣ	2022	Ιουνίου	28	14:10	2022-06-28 14:10:00
4	"Ρήτρα αναπροσαρμογής: ""Όχι"" στην πιλοτική δίκη λέει ο Άρειος Πάγος"	28 Ιουνίου 2022 13:53	https://www.news247.gr/koinonia/ritra-anaprosarmogis-ochi-stin-pilotiki-diki-leei-o-areios-pagos.9680008.html	Υπέρ των καταναλωτικών οργανώσεων και της Ολομέλειας των Δικηγορικών Συλλόγων Ελλάδος τάχθηκε ο Άρειος Πάγος, ο οποίος απέρριψε σχετικό αίτημα της ΔΕΗ για πιλοτική δίκη αναφορικά με το ζήτημα της ρήτρας αναπροσαρμογής.	ΡΗΤΡΑ ΑΝΑΠΡΟΣΑΡΜΟΓΗΣ	2022	Ιουνίου	28	13:53	2022-06-28 13:53:00
5	"Χαρίτσης: ""Διορισμένοι από τη ΝΔ διαφωνούν ανοιχτά με την κυβερνητική πολιτική"""	28 Ιουνίου 2022 10:31	https://www.news247.gr/politiki/charitsis-diorismenoi-apo-ti-nd-diafonoyn-anoichta-me-tin-kyvernitiki-politiki.9679766.html	Τις χθεσινές δηλώσεις του προέδρου της ΡΑΕ που πήρε τη σκυτάλη από Συνήγορο Καταναλωτή και Επιτροπή Ανταγωνισμού  σχολίασε ο τομεάρχης Ανάπτυξης και Επενδύσεων του ΣΥΡΙΖΑ. 	ΧΑΡΙΤΣΗΣ	2022	Ιουνίου	28	10:31	2022-06-28 10:31:00
6	Δύο Έλληνες έφτιαξαν εφαρμογή που προβλέπει την κατανάλωση ρεύματος και η ιδέα τους έφτασε στο MIT 	27 Ιουνίου 2022 15:04	https://www.news247.gr/technologia/dyo-ellines-eftiaxan-efarmogi-poy-provlepei-tin-katanalosi-reymatos-kai-i-idea-toys-eftase-sto-mit.9679007.html	"Ο Μιχάλης Μανής και ο Απόλλωνας Κωνσταντόπουλος δημιούργησαν τη Start Up ""Ensight""  η οποία έφτασε μέχρι τον τελικό του διαγωνισμού ""ΜΙΤ Enterprise Forum Greece""."	ΗΛΕΚΤΡΙΚΗ ΕΝΕΡΓΕΙΑ	2022	Ιουνίου	27	15:04	2022-06-27 15:04:00
7	Λογαριασμοί ρεύματος: Αλλαγές στα τιμολόγια κάθε μήνα μετά την αναστολή της ρήτρας αναπροσαρμογής	27 Ιουνίου 2022 06:19	https://www.news247.gr/energia/allages-timologia-reymatos-kathe-mina-meta-katargisi-ritras-anaprosarmogis.9678458.html	Με την τροπολογία Σκρέκα που κατατέθηκε στη Βουλή αναστέλλεται η εφαρμογή της ρήτρας, αλλά οι καταναλωτές θα λαμβάνουν λογαριασμό με επικαιροποιημένες χρεώσεις κάθε μήνα. Θα μπορούν όμως να αλλάξουν πάροχο ελεύθερα.	ΗΛΕΚΤΡΙΚΗ ΕΝΕΡΓΕΙΑ	2022	Ιουνίου	27	06:19	2022-06-27 06:19:00
8	"ΣΥΡΙΖΑ: ""Ομολογούν τη ληστεία με τη ρήτρα αναπροσαρμογής και ετοιμάζουν νέα απάτη σε βάρος των πολιτών"""	25 Ιουνίου 2022 15:56	https://www.news247.gr/politiki/syriza-omologoyn-ti-listeia-me-ti-ritra-anaprosarmogis-kai-etoimazoyn-nea-apati-se-varos-ton-politon.9677504.html	"Για ""επικοινωνιακό κόλπο"" της κυβέρνησης ενόψει εκλογών κάνει λόγο ο ΣΥΡΙΖΑ-ΠΣ σχετικά με την τροπολογία για τη ρήτρα αναπροσαρμογής, την οποία ""οι πολίτες δεν θα βλέπουν""."	ΣΥ.ΡΙΖ.Α.	2022	Ιουνίου	25	15:56	2022-06-25 15:56:00
9	ΥΠΕΝ: Τι στοχεύει με τις δύο ρυθμίσεις για το ρεύμα - Τι αναμένεται από τον Ιούλιο	25 Ιουνίου 2022 10:12	https://www.news247.gr/oikonomia/ypen-ti-stocheyei-me-tis-dyo-rythmiseis-gia-to-reyma-ti-anamenetai-apo-ton-ioylio.9677297.html	Έως τις 10 Ιουλίου οι εταιρείες προμήθειας ηλεκτρικής ενέργειας θα πρέπει να αναρτήσουν στην ιστοσελίδα τους τις τιμές που θα ισχύσουν από την 1η Αυγούστου. Οι λογαριασμοί που θα εκδοθούν τον Αύγουστο δεν θα περιλαμβάνουν ρήτρα αναπροσαρμογής.	ΗΛΕΚΤΡΙΚΗ ΕΝΕΡΓΕΙΑ	2022	Ιουνίου	25	10:12	2022-06-25 10:12:00
10	Ρήτρα αναπροσαρμογής: Τέλος από 1η Αυγούστου - Όλη η τροπολογία	24 Ιουνίου 2022 22:26	https://www.news247.gr/oikonomia/ritra-anaprosarmogis-telos-apo-1i-aygoystoy-oli-i-tropologia.9677162.html	Τροπολογία του υπουργείου Περιβάλλοντος και Ενέργειας που κατατέθηκε στη Βουλή, ορίζει την αναστολή της ρήτρας αναπροσαρμογής από την 1η Αυγούστου 2022 μέχρι τις 31 Ιουλίου του 2023.	ΗΛΕΚΤΡΙΚΗ ΕΝΕΡΓΕΙΑ	2022	Ιουνίου	24	22:26	2022-06-24 22:26:00
